SampleID_old,StationCode,COMID,E,OE,pMMI,CSCI,SampleID_old.1
202BUT040_6.4.14_1,202BUT040,17688195,18.29075181,0.991393548,0.868848416,0.930120982,202BUT040_6.4.14_1
202BUT050_6.16.09_1,202BUT050,17688205,17.69106194,1.069749237,1.098543189,1.084146213,202BUT050_6.16.09_1
202BUT480_6.25.12_1,202BUT480,17688205,17.63375316,1.145530382,1.133039534,1.139284958,202BUT480_6.25.12_1
202BUT600_6.26.12_1,202BUT600,17688205,16.39964758,1.073193794,1.071791507,1.07249265,202BUT600_6.26.12_1
202BUT850_6.4.13_1,202BUT850,17688325,13.64952883,1.058644601,1.071812652,1.065228626,202BUT850_6.4.13_1
202DRY010_6.5.13_1,202DRY010,17688285,14.55487058,0.529032529,0.454731796,0.491882163,202DRY010_6.5.13_1
202LAH950_6.13.12_1,202LAH950,17687887,15.14763034,0.788902272,0.632346694,0.710624483,202LAH950_6.13.12_1
202MIC150_5.7.14_1,202MIC150,17687849,14.39273527,0.837227933,0.937347273,0.887287603,202MIC150_5.7.14_1
202PES162_6.7.10_1,202PES162,17688085,13.32841243,1.21619886,0.885539265,1.050869062,202PES162_6.7.10_1
202PES168_6.6.13_1,202PES168,17688093,12.46719246,1.114926239,0.834735335,0.974830787,202PES168_6.6.13_1
202PS0246_6.5.13_1,202PS0246,17687845,17.1860955,0.951350468,0.926409278,0.938879873,202PS0246_6.5.13_1
202R00024_6.6.12_1,202R00024,17688291,14.95986694,0.902414444,0.939262986,0.920838715,202R00024_6.6.12_1
202R00072_5.29.12_1,202R00072,17687547,15.68701047,1.055013002,0.910234808,0.982623905,202R00072_5.29.12_1
202R00087_5.30.12_1,202R00087,17687379,13.21764153,0.756564624,0.655284845,0.705924735,202R00087_5.30.12_1
202R00248_5.23.13_1,202R00248,17687979,11.87388473,1.204323633,0.985652641,1.094988137,202R00248_5.23.13_1
202R00280_5.22.13_1,202R00280,17688015,13.12438852,0.830514883,0.985387511,0.907951197,202R00280_5.22.13_1
202R00284_6.15.12_1,202R00284,17687425,16.42465477,0.687990107,0.743683891,0.715836999,202R00284_6.15.12_1
202R00908_5.21.13_1,202R00908,17687383,17.74979707,0.169016017,0.166700019,0.167858018,202R00908_5.21.13_1
202SPE090_6.15.09_1,202SPE090,17687393,17.51851748,0.901902802,0.892815547,0.897359175,202SPE090_6.15.09_1
202TUN600_5.12.14_1,202TUN600,17688283,11.96065479,1.003289553,1.022049718,1.012669636,202TUN600_5.12.14_1
203PS0070_9.7.10_1,203PS0070,1671421,11.65148229,0.75956001,0.495824623,0.627692317,203PS0070_9.7.10_1
203R00983_6.6.13_1,203R00983,1671611,13.60926891,0.745815228,0.666583019,0.706199124,203R00983_6.6.13_1
204AHOACR_6.2.14_1,204AHOACR,2809859,14.84832547,1.062970593,1.095646571,1.079308582,204AHOACR_6.2.14_1
204ALA525_5.22.12_1,204ALA525,2809691,13.34025243,1.221865934,1.309941338,1.265903636,204ALA525_5.22.12_1
204ALP040_6.29.11_1,204ALP040,2806327,9.490025629,0.437301243,0.27859473,0.357947986,204ALP040_6.29.11_1
204ARH090_6.2.14_1,204ARH090,2810117,10.85048001,1.101333764,1.195298252,1.148316008,204ARH090_6.2.14_1
204IND200_5.25.10_1,204IND200,2808579,13.17219311,0.865459526,0.888932593,0.877196059,204IND200_5.25.10_1
204PS0038_6.19.08_1,204PS0038,2804921,9.618019751,0.50946038,0.265433566,0.387446973,204PS0038_6.19.08_1
204PS0094_7.14.10_1,204PS0094,2806357,10.1819098,0.397764278,0.200179436,0.298971857,204PS0094_7.14.10_1
204PS0102_8.10.11_1,204PS0102,2803945,12.2120596,0.94715118,0.663327917,0.805239549,204PS0102_8.10.11_1
204PS0118_6.15.11_1,204PS0118,2804621,13.11383317,0.739676941,0.44895793,0.594317436,204PS0118_6.15.11_1
204R00047_6.6.12_1,204R00047,2803979,12.4702891,0.481143617,0.394237234,0.437690425,204R00047_6.6.12_1
204R00063_6.4.13_1,204R00063,2803789,11.67736903,0.599450097,0.350736319,0.475093208,204R00063_6.4.13_1
204R00068_5.31.12_1,204R00068,2806325,11.33355169,0.59557676,0.335194648,0.465385704,204R00068_5.31.12_1
204R00084_5.24.12_1,204R00084,2806333,9.748278003,0.697559097,0.39043452,0.543996808,204R00084_5.24.12_1
204R00100_5.30.12_1,204R00100,2806365,12.74512646,0.376614545,0.274443058,0.325528802,204R00100_5.30.12_1
204R00180_5.30.12_1,204R00180,2804511,12.541265,0.665802054,0.235548382,0.450675218,204R00180_5.30.12_1
204R00189_5.6.13_1,204R00189,2811071,11.41196584,0.990188734,0.982669723,0.986429228,204R00189_5.6.13_1
204R00191_5.29.12_1,204R00191,2806459,10.85405441,0.755478063,0.472258521,0.613868292,204R00191_5.29.12_1
204R00200_5.31.12_1,204R00200,2804687,11.69053463,0.598775011,0.263014293,0.430894652,204R00200_5.31.12_1
204R00232_6.12.12_1,204R00232,2809129,11.49929621,0.565251984,0.200657081,0.382954532,204R00232_6.12.12_1
204R00244_6.12.12_1,204R00244,2809127,10.82840398,0.512540907,0.284431398,0.398486153,204R00244_6.12.12_1
204R00303_6.14.12_1,204R00303,2803981,13.15082497,0.517077827,0.29235232,0.404715074,204R00303_6.14.12_1
204R00319_6.7.12_1,204R00319,2803791,11.74448361,0.732258674,0.623613827,0.677936251,204R00319_6.7.12_1
