StationID,New_Lat,New_Long
205R00131,37.434,-121.9128
205R00154,37.234,-121.8376
205R00168,37.3968,-122.2323
205R00170,37.2482,-122.0721
205R00174,37.5282,-121.9477
205R00182,37.1875,-121.8401
205R00218,37.29,-121.818
205R00227,37.4099,-122.1383
205R00234,37.2662,-121.9908
205R00241,37.2764,-121.765
205R00259,37.3672,-121.9248
205R00282,37.2376,-121.8884
205R00291,37.3172,-121.8486
205R00346,37.2597,-121.8701
205R00374,37.1942,-121.8232
205R00387,37.4456,-121.9109
205R00419,37.3205,-122.0609
205R00430,37.4826,-121.9373
205R00451,37.386,-121.9096
205R00474,37.2788,-121.8078
205R00538,37.2179,-121.914
205R00547,37.3484,-121.9895
205R00554,37.2467,-121.9952
205R00586,37.1655,-121.9792
205R00602,37.2297,-121.8659
205R00627,37.3963,-121.9869
205R00666,37.2692,-121.7967
205R00686,37.5124,-121.9439
205R00707,37.3906,-121.8433
205R00714,37.2342,-121.9733
205R00739,37.4297,-122.1282
205R00771,37.3406,-121.9021
205R00787,37.4014,-121.795
205R00872,37.4213,-122.2459
205R00878,37.5546,-121.987
205R00984,37.4254,-122.2635
205R01134,37.5005,-121.9156
205R01198,37.5088,-121.9666
205R01390,37.5308,-121.9702
