STN_ID,SITE_CODE,SWN,WELL_NAME,LATITUDE,LONGITUDE,COUNTY_NAME,tract,ZIP
52404,386181N1213591W001,09N06E19K001M,SSWD 26,38.6181,-121.359,Sacramento,6067005904,95821
52198,386194N1213326W001,09N06E21M001M,CAR-LaVista Drive,38.6194,-121.333,Sacramento,6067007701,95608
52399,386198N1213961W001,09N05E23H001M,SSWD 13,38.6198,-121.396,Sacramento,6067006101,95821
8943,386199N1215386W001,09N04E22E001M,09N04E22E001M,38.6199,-121.539,Sacramento,6067007017,95833
31413,386201N1214191W001,09N05E22G002M,NA,38.6201,-121.419,Sacramento,6067006202,95815
52226,386202N1214316W001,09N05E21H001M,SAC-122,38.6202,-121.432,Sacramento,6067006300,95815
52225,386207N1214426W001,09N05E21E001M,SAC-120,38.6207,-121.443,Sacramento,6067006600,95815
9640,386212N1214210W001,09N05E22F001M,NA,38.6212,-121.421,Sacramento,6067006202,95815
52221,386220N1214766W001,09N05E19F001M,SAC-093,38.622,-121.477,Sacramento,6067007007,95833
52237,386222N1214458W001,09N05E21E002M,SAC-143,38.6222,-121.446,Sacramento,6067006600,95815
52410,386229N1214138W001,09N05E22A001M,SSWD 43,38.6229,-121.414,Sacramento,6067006201,95821
52197,386230N1213360W001,09N06E20H001M,CAR-Garfield Ave,38.623,-121.336,Sacramento,6067007701,95608
51634,386238N1213744W001,NA,24,38.6238,-121.374,Sacramento,6067006004,95821
52402,386238N1213874W001,09N05E24A003M,SSWD 24,38.6238,-121.387,Sacramento,6067006101,95821
52228,386247N1214612W001,09N05E20D001M,SAC-124,38.6247,-121.461,Sacramento,6067006702,95838
52415,386249N1213623W001,09N06E19C001M,SSWD 66,38.6249,-121.362,Sacramento,6067005904,95821
48027,386250N1213591W001,09N06E20D001M,Well 54,38.625,-121.359,Sacramento,6067005904,95821
52227,386256N1214670W001,09N05E19A001M,SAC-123,38.6256,-121.467,Sacramento,6067006702,95838
52230,386265N1214284W001,09N05E16D001M,SAC-129,38.6265,-121.428,Sacramento,6067006300,95815
55105,386267N1214295W001,10N05E36A956M,SAC-127,38.6267,-121.43,Sacramento,6067006300,95815
52222,386272N1214759W001,09N05E18P001M,SAC-094,38.6272,-121.476,Sacramento,6067007007,95833
52413,386279N1213586W001,09N06E18Q001M,SSWD 60,38.6279,-121.359,Sacramento,6067005904,95821
52461,386280N1213493W001,NA,WCMSS,38.628,-121.349,Sacramento,6067005904,95821
